title,genres,overview,keywords,cast,director,vote_average,vote_count
Inception,Action|Sci-Fi|Thriller,A skilled thief enters dreams to steal secrets and attempts an impossible idea.,dream heist subconscious,Leonardo DiCaprio|Joseph Gordon-Levitt,Christopher Nolan,8.8,35000
Interstellar,Adventure|Drama|Sci-Fi,Explorers travel through a wormhole in space to find a new home for humanity.,space wormhole astronaut future,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan,8.7,34000
The Dark Knight,Action|Crime|Drama,A masked hero faces a criminal mastermind who creates chaos in Gotham City.,batman joker hero crime,Christian Bale|Heath Ledger|Gary Oldman,Christopher Nolan,9.0,33000
The Matrix,Action|Sci-Fi,A computer hacker discovers that reality is a simulated world.,simulation hacker artificial intelligence,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,Lana Wachowski|Lilly Wachowski,8.7,26000
Avatar,Action|Adventure|Fantasy,A marine on an alien world becomes involved in a conflict over its resources.,alien planet nature war,Sam Worthington|Zoe Saldana|Sigourney Weaver,James Cameron,7.8,29000
Titanic,Drama|Romance,Two people from different social backgrounds fall in love aboard a doomed ocean liner.,love ship historical tragedy,Leonardo DiCaprio|Kate Winslet|Billy Zane,James Cameron,7.9,24000
The Martian,Adventure|Drama|Sci-Fi,An astronaut stranded on Mars uses science and determination to survive.,mars astronaut survival science,Matt Damon|Jessica Chastain|Jeff Daniels,Ridley Scott,8.0,19000
Gravity,Drama|Sci-Fi|Thriller,Two astronauts struggle to survive after an accident leaves them stranded in space.,space astronaut survival orbit,Sandra Bullock|George Clooney|Ed Harris,Alfonso Cuarón,7.7,18000
Avengers: Endgame,Action|Adventure|Sci-Fi,Heroes unite for a final mission to reverse a devastating event.,superhero time travel marvel,Robert Downey Jr.|Chris Evans|Scarlett Johansson,Anthony Russo|Joe Russo,8.4,30000
Iron Man,Action|Adventure|Sci-Fi,A wealthy inventor builds an advanced armored suit and becomes a superhero.,superhero technology inventor armor,Robert Downey Jr.|Gwyneth Paltrow|Jeff Bridges,Jon Favreau,7.9,22000
Black Panther,Action|Adventure|Sci-Fi,A new king must protect his technologically advanced African nation.,superhero king africa technology,Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o,Ryan Coogler,7.3,21000
Spider-Man: No Way Home,Action|Adventure|Sci-Fi,A young hero faces villains from different realities after a spell goes wrong.,spiderman multiverse superhero,Tom Holland|Zendaya|Benedict Cumberbatch,Jon Watts,8.2,25000
Doctor Strange,Action|Adventure|Fantasy,A surgeon learns mystical arts after a life-changing accident.,magic superhero multiverse doctor,Benedict Cumberbatch|Rachel McAdams|Tilda Swinton,Scott Derrickson,7.5,18000
Guardians of the Galaxy,Action|Adventure|Comedy,A group of unlikely heroes joins together to protect the galaxy.,space superhero comedy team,Chris Pratt|Zoe Saldana|Dave Bautista,James Gunn,8.0,21000
Jurassic Park,Adventure|Sci-Fi|Thriller,Scientists visit a theme park where genetically recreated dinosaurs escape.,dinosaurs science island survival,Sam Neill|Laura Dern|Jeff Goldblum,Steven Spielberg,8.2,17000
Jumanji,Adventure|Comedy|Fantasy,A magical game brings dangerous adventures into the real world.,game jungle adventure comedy,Robin Williams|Kirsten Dunst|David Alan Grier,Joe Johnston,7.0,9000
Harry Potter and the Sorcerer's Stone,Adventure|Fantasy,A young wizard begins his magical education and discovers a dangerous mystery.,wizard magic school friendship,Daniel Radcliffe|Emma Watson|Rupert Grint,Chris Columbus,7.6,19000
The Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy|Drama,A hobbit begins a dangerous journey to destroy a powerful ring.,fantasy ring quest fellowship,Elijah Wood|Ian McKellen|Viggo Mortensen,Peter Jackson,8.8,23000
The Hunger Games,Adventure|Sci-Fi|Thriller,A young woman volunteers for a deadly televised competition.,dystopia survival competition rebellion,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth,Gary Ross,7.2,17000
Dune,Adventure|Drama|Sci-Fi,A young heir must protect his family and a desert planet's future.,desert space politics prophecy,Timothée Chalamet|Rebecca Ferguson|Oscar Isaac,Denis Villeneuve,8.0,16000
3 Idiots,Comedy|Drama,"Three engineering students navigate friendship, pressure and education.",college friendship education comedy,Aamir Khan|R. Madhavan|Sharman Joshi,Rajkumar Hirani,8.4,12000
Taare Zameen Par,Drama,A teacher helps a struggling child discover his creativity and confidence.,school child teacher dyslexia,Aamir Khan|Darsheel Safary|Tisca Chopra,Aamir Khan,8.3,8000
Zindagi Na Milegi Dobara,Adventure|Comedy|Drama,Three friends take a road trip that changes how they see life.,friends travel road trip Spain,Hrithik Roshan|Farhan Akhtar|Abhay Deol,Zoya Akhtar,8.2,9000
Dilwale Dulhania Le Jayenge,Drama|Romance,Two young Indians fall in love while traveling across Europe and face family expectations.,romance family travel love,Shah Rukh Khan|Kajol|Amrish Puri,Aditya Chopra,8.1,10000
Dangal,Biography|Drama|Sport,A father trains his daughters to become competitive wrestlers.,wrestling family sport women,Aamir Khan|Fatima Sana Shaikh|Sanya Malhotra,Nitesh Tiwari,8.3,11000
Andhadhun,Crime|Thriller|Comedy,A pianist becomes involved in a mysterious crime after witnessing something unexpected.,piano mystery crime blind thriller,Ayushmann Khurrana|Tabu|Radhika Apte,Sriram Raghavan,8.2,7500
Drishyam,Crime|Drama|Thriller,A family tries to protect itself after a complicated incident.,family crime investigation mystery,Ajay Devgn|Shriya Saran|Tabu,Nishikant Kamat,8.2,7000
Queen,Comedy|Drama,A young woman takes a solo honeymoon trip and discovers independence.,travel friendship self discovery comedy,Kangana Ranaut|Rajkummar Rao|Lisa Haydon,Vikas Bahl,8.1,6500
Barfi!,Comedy|Drama|Romance,A charming young man forms meaningful relationships despite communication challenges.,love friendship disability romance,Ranbir Kapoor|Priyanka Chopra|Ileana D'Cruz,Anurag Basu,8.1,6000
PK,Comedy|Drama|Fantasy,An innocent alien questions social customs while searching for a way home.,alien religion society comedy,Aamir Khan|Anushka Sharma|Sushant Singh Rajput,Rajkumar Hirani,8.1,12000
Lagaan,Drama|Sport|History,Villagers challenge colonial rulers to a cricket match to avoid a heavy tax.,cricket village colonial India,Aamir Khan|Gracy Singh|Rachel Shelley,Ashutosh Gowariker,8.1,6500
